CurTime,logDuration,capVoltage,timesinceMovement,timePresent,personPresent
18:36:38,0:2:45,0.27,0.43,2.3,0
18:36:38,0:2:46,0.27,0.43,2.3,0
18:36:39,0:2:46,0.27,0.44,2.3,0
18:36:39,0:2:46,0.26,0.44,2.3,0
18:36:40,0:2:47,0.26,0.46,2.3,0
18:36:40,0:2:47,0.26,0.46,2.3,0
18:36:41,0:2:48,0.26,0.48,2.3,0
18:36:41,0:2:48,0.26,0.48,2.3,0
18:36:42,0:2:49,0.26,0.49,2.3,0
18:36:42,0:2:49,0.26,0.49,2.3,0
18:36:43,0:2:50,0.26,0.51,2.3,0
18:36:43,0:2:50,0.26,0.51,2.3,0
18:36:44,0:2:51,0.26,0.53,2.3,0
18:36:44,0:2:51,0.26,0.53,2.3,0
18:36:45,0:2:52,0.26,0.54,2.3,0
18:36:45,0:2:52,0.26,0.54,2.3,0
18:36:46,0:2:53,0.25,0.56,2.3,0
18:36:46,0:2:53,0.26,0.56,2.3,0
18:36:47,0:2:54,0.26,0.58,2.3,0
18:36:47,0:2:54,0.25,0.58,2.3,0
18:36:48,0:2:55,0.25,0.58,2.3,0
18:36:48,0:2:55,0.25,0.59,2.3,0
18:36:49,0:2:56,0.25,0.59,2.3,0
18:36:49,0:2:56,0.25,0.61,2.3,0
18:36:50,0:2:57,0.25,0.61,2.3,0
18:36:50,0:2:57,0.25,0.63,2.3,0
18:36:51,0:2:58,0.25,0.63,2.3,0
18:36:51,0:2:58,0.25,0.64,2.3,0
18:36:52,0:2:59,0.25,0.64,2.3,0
18:36:52,0:2:59,0.25,0.66,2.3,0
18:36:53,0:3:0,0.25,0.66,2.3,0
18:36:53,0:3:0,0.24,0.68,2.3,0
18:36:54,0:3:1,0.25,0.68,2.3,0
18:36:54,0:3:1,0.25,0.7,2.3,0
18:36:55,0:3:2,0.25,0.7,2.3,0
18:36:55,0:3:2,0.24,0.71,2.3,0
18:36:56,0:3:3,0.24,0.71,2.3,0
18:36:56,0:3:3,0.24,0.73,2.3,0
18:36:57,0:3:4,0.24,0.73,2.3,0
18:36:57,0:3:4,0.24,0.75,2.3,0
18:36:58,0:3:5,0.24,0.75,2.3,0
18:36:58,0:3:5,0.24,0.76,2.3,0
